写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
婉约,柳树 粉堕百花洲，香残燕子楼。一团团、逐队成球。飘泊亦如人命薄，空缱绻，说风流。草木也知愁，韶华竟白头。叹今生、谁舍谁收！嫁与东风春不管，凭尔去，忍淹留！
咏物,柳树,写风 白玉堂前春解舞，东风卷得均匀。蜂围蝶阵乱纷纷。几曾随逝水？岂必委芳尘？万缕千丝终不改，任他随聚随分。韶华休笑本无根。好风凭借力，送我上青云。
写花,梅花 酒未开樽句未裁，寻春问腊到蓬莱。不求大士瓶中露，为乞孀娥槛外梅。入世冷挑红雪去，离尘香割紫云来。槎枒谁惜诗肩瘦，衣上犹沾佛院苔。
写花,菊花 露凝霜重渐倾欹，宴赏才过小雪时。蒂有余香金淡泊，枝无全叶翠离披。半床落月蛩声病，万里寒云雁阵迟。明岁秋风知再会，暂时分手莫相思。
写花,梅花 桃未芳菲杏未红，冲寒先喜笑东风。魂飞庾岭春难辨，霞隔罗浮梦未通。绿萼添妆融宝炬，缟仙扶醉跨残虹。看来岂是寻常色，浓淡由他冰雪中。
写花,梅花 白梅懒赋赋红梅，逞艳先迎醉眼开。冻脸有痕皆是血，酸心无恨亦成灰。误吞丹药移真骨，偷下瑶池脱旧胎。江北江南春灿烂，寄言蜂蝶漫疑猜。
咏物,月亮 非银非水映窗寒，试看晴空护玉盘。淡淡梅花香欲染，丝丝柳带露初干。只疑残粉涂金砌，恍若轻霜抹玉栏。梦醒西楼人迹绝，余容犹可隔帘看。
咏物 铁甲长戈死未忘，堆盘色相喜先尝。螯封嫩玉双双满，壳凸红脂块块香。多肉更怜卿八足，助情谁劝我千觞。对兹佳品酬佳节，桂拂清风菊带霜。
写花,梅花 疏是枝条艳是花，春妆儿女竞奢华。闲庭曲槛无余雪，流水空山有落霞。幽梦冷随红袖笛，游仙香泛绛河槎。前身定是瑶台种，无复相疑色相差。
咏物,月亮 月挂中天夜色寒，清光皎皎影团团。诗人助兴常思玩，野客添愁不忍观。翡翠楼边悬玉镜，珍珠帘外挂冰盘。良宵何用烧银烛，晴彩辉煌映画栏。
菊花,抒情 篱畔秋酣一觉清，和云伴月不分明。登仙非慕庄生蝶，忆旧还寻陶令盟。睡去依依随雁断，惊回故故恼蛩鸣。醒时幽怨同谁诉，衰草寒烟无限情。
写人 瓦砾明珠一例抛，何曾石尉重娇娆？都缘顽福前生造，更有同归慰寂寥。
地名 铜铸金镛振纪纲，声传海外播戎羌。马援自是功劳大，铁笛无烦说子房。
菊花 怅望西风抱闷思，蓼红苇白断肠时。空篱旧圃秋无迹，瘦月清霜梦有知。念念心随归雁远，寥寥坐听晚砧痴。谁怜我为黄花病，慰语重阳会有期。
写景 咸言上国繁华，岂谓帝城羁旅。十点五点残萤，千声万声秋雨。白云江上故乡，月下风前吟处。欲去不去迟迟，未展平生所伫。
咏史怀古,地名 缅想咸阳事可嗟，楚歌哀怨思无涯。八千子弟归何处？万里鸿沟属汉家。弓断阵前争日月，血流垓下定龙蛇。拔山力尽乌江水，今古悠悠空浪花。
婉约 绿暗红稀春已暮，燕子衔泥，飞入垂杨处。柳絮欲停风不住，杜鹃声里山无数。竹杖芒鞋无定据，穿过溪南，独木横桥路。樵子渔师来又去，一川风月谁为主。
写景,写人 桥西一曲水通村，岸阁浮萍绿有痕。家住石湖人不到，藕花多处别开门。
写人 双螺未合，双蛾先敛，家在碧云西。别母情怀，随郎滋味，桃叶渡江时。扁舟载了，匆匆归去，今夜泊前溪。杨柳津头，梨花墙外，心事两人知。
离别,抒情 金谷人归，绿杨低扫吹笙道。数声啼鸟，也学相思调。月落潮生，掇送刘郎老。淮南好，甚时重到？陌上生春草。
婉约 燕雁无心，太湖西畔随云去。数峰清苦。商略黄昏雨。第四桥边，拟共天随住。今何许。凭阑怀古。残柳参差舞。
边塞 海畔风吹冻泥裂，枯桐叶落枝梢折。横笛闻声不见人，红旗直上天山雪。
咏物 欲转声犹涩，将飞羽未调。高风不借便，何处得迁乔。
春天,闺怨 春朝物候妍，愁妇镜台前。风吹数蝶乱，露洗百花鲜。试出褰罗幌，还来著锦筵。曲中愁夜夜，楼上别年年。不及随萧史，高飞向紫烟。
送别 下嫁戎庭远，和亲汉礼优。笳声出虏塞，箫曲背秦楼。贵主悲黄鹤，征人怨紫骝。皇情眷亿兆，割念俯怀柔。
送别 御跸下都门，军麾出塞垣。长杨跨武骑，细柳接戎轩。睿曲风云动，边威鼓吹喧。坐帷将阃外，俱是报明恩。
抒情,思念 独依浙江楼，满耳怨笳哀笛。犹有梨园声在，念那人天北。海棠憔悴怯春寒，风雨怎禁得。回首华清池畔，渺露芜烟荻。
抒情,思乡 愁到浓时酒自斟，挑灯看剑泪痕深。黄金台愧少知己，碧玉调将空好音。万叶秋风孤馆梦，一灯夜雨故乡心。庭前昨夜梧桐雨，劲气萧萧入短襟。
思念 官舍悄，坐到月西斜。永夜角声悲自语，客心愁破正思家。南北各天涯。肠断裂，搔首一长嗟。绮席象床寒玉枕，美人何处醉黄花。和泪捻琵琶。
思念 十年愁眼泪巴巴。今日思家，明日思家。一团燕月明窗纱。楼上胡笳，塞上胡笳。玉人劝我酌流霞。急捻琵琶，缓捻琵琶。一从别后各天涯。欲寄梅花，莫寄梅花。
写水 北望燕云不尽头，大江东去水悠悠。夕阳一片寒鸦外，目断东南四百州。
爱国 君王城上竖降旗，妾在深宫那得知？十四万人齐解甲，更无一个是男儿！
夏天,写景 晴云轻漾，熏风无浪，开樽避暑争相向。映湖光，逞新妆。笙歌鼎沸南湖荡，今夜且休回画舫。风，满座凉；莲，入梦香。
秋天,写景 疏林红叶，芙蓉将谢，天然妆点秋屏列。断霞遮，夕阳斜，山腰闪出闲亭榭。分付画船且慢者。歌，休唱彻；诗，乘兴写。
写雪 天仙碧玉琼瑶，点点扬花，片片鹅毛。访戴归来，寻梅懒去，独钓无聊。一个饮羊羔红炉暖阁，一个冻骑驴野店溪桥，你自评跋，那个清高，那个粗豪？
写景 梨花风起正清明，游子寻春半出城。日暮笙歌收拾去，万株杨柳属流莺。
爱情,哲理 新秋逢闰，鹊桥重驾，两度人间乞巧。栏干斜转玉绳低，问乞得、天机多少？闺中女伴、天边佳会，多事纷纷祈祷。神仙之说本虚无，便是有、也应年老。
咏物,写花 花气霭芳芬，翠幕重帘不染尘。梦里真香通鼻观，氤氲。不是婷婷倩女魂。细蕊缀纷纷，淡粉轻脂最可人。懒与凡葩争艳冶，清新。赢得嘉名自冠群。
婉约,写景,抒情 极目楚天空，云雨无踪，漫留遗恨锁眉峰。自是荷花开较晚，孤负东风。客馆叹飘蓬，聚散匆匆，扬鞭那忍骤花骢。望断斜阳人不见，满袖啼红。
爱情,思念 几回花下坐吹箫，银汉红墙入望遥。似此星辰非昨夜，为谁风露立中宵。缠绵思尽抽残茧，宛转心伤剥后蕉。三五年时三五月，可怜杯酒不曾消。
写景,写雪,写花,抒情 孤舟夜泊洞庭边，灯火青荧对客船。朔风吹老梅花片，推开篷雪满天。诗豪与风雪争先。雪片与风鏖战，诗和雪缴缠。一笑琅然。
婉约,爱情 草绿裙腰山染黛，闲恨闲愁侬不解。莫愁艇子渡江时，九鸾钗，双凤带，杯酒劝郎情似海。
婉约,写景 翠岭一千寻，岭上彩云如幄。云影波光相射，荡楼台春绿。仙鬟撩鬓倚双扉，窈窕一枝玉。日暮九疑何处？认舜祠丛竹。
读书 富家不用买良田，书中自有千锺粟。安居不用架高堂，书中自有黄金屋。出门莫恨无人随，书中车马多如簇。娶妻莫恨无良媒，书中自有颜如玉。男儿若遂平生志，六经勤向窗前读。
闺怨 关塞年华早，楼台别望违。试衫著暖气，开镜觅春晖。燕入窥罗幕，蜂来上画衣。情催桃李艳，心寄管弦飞。妆洗朝相待，风花暝不归。梦魂何处入，寂寂掩重扉。
写雨 疏梅带雨开，瘦竹随风摆，雨和风着意好，为我安排。临风自惜残香洒，冒雨谁从滴翠来。清虚界，任风敲雨筛；掩柴扉，谢他梅竹伴我冷书斋。
写景 生怕倚阑干，阁下溪声阁外山。惟有旧时山共水，依然，暮雨朝云去不还。应是蹑飞鸾，月下时时整佩环。月又渐低霜又下，更阑，折得梅花独自看。
婉约,写花 水晶帘外娟娟月，梨花枝上层层雪。花月两模糊，隔窗看欲无。月华今夜黑，全见梨花白。花也笑姮娥，让他春色多。
婉约 软翠冠儿簇海棠，砑罗衫子绣丁香。闲来水上踏青阳。风暖有人能作伴，日长无事可思量。水流花落任匆忙。
写景 细雨茸茸湿楝花，南风树树熟枇杷；徐行不记山深浅，一路莺啼送到家。
写人 一片青天白鹭前，桃花水泛住家船。呼儿去换城中酒，新得槎头缩项鯿。
秋天,写景 山中多晚凉，清风厉秋节。遥瞻四五峰，壁立皆奇绝。修竹傍林开，乔松倚岩列。黄菊散芳丛，清泉凝白雪。对此怀素心，千里共明月。愿保幽贞姿，岁寒双皎洁。
爱国 相州昼锦堂厨酝，卫国淇川岸竹萌。二物烦君走分饷，时哉乘兴倒瑶觥。
写雨 一声声，一更更。窗外芭蕉窗里灯，此时无限情。梦难成，恨难平。不道愁人不喜听，空阶滴到明。
写景 短长亭，古今情。楼外凉蟾一晕生，雨馀秋更清。暮云平，暮山横。几叶秋声和雁声，行人不要听。
婉约 春到南楼雪尽。惊动灯期花信。小雨一番寒。倚阑干。莫把栏干频倚。一望几重烟水。何处是京华。暮云遮。
离别 憔悴天涯，故人相遇情如故。别离何遽。忍唱阳关句。我是行人，更送行人去。愁无据。寒蝉鸣处。回首斜阳暮。
婉约 榴花五月眼边明。角簟流冰午梦清。江上扁舟停画桨，云间一笑濯尘缨。主人杯酒留连意，倦客关河去住情。都付驿亭今日水，伴人东去到江城。
抒情 百年强半，高秋犹在天南畔。幽怀已被黄花乱。更恨银蟾。故向愁人满。招呼诗酒颠狂伴。羽觞到手判无算。浩歌箕踞巾聊岸。酒欲醒时，兴在卢仝碗。
爱国 海角崖山一线斜，从今也不属中华。更无鱼腹捐躯地，况有龙涎泛海槎？望断关河非汉帜，吹残日月是胡笳。嫦娥老大无归处，独倚银轮哭桂花。
爱国,思乡 寂寞枯枰响泬寥，秦淮秋老咽寒潮。白头灯影凉宵里，一局残棋见六朝。
春天 春欲去，如梦一庭空絮。墙里秋千人笑语，花飞撩乱处。无计可留春住，只有断肠诗句。万种消魂多寄与：斜阳天外树。
写景 一泓清可沁诗脾，冷暖年来只自知。流出西湖载歌舞，回头不似在山时。
豪放 长忆观潮，满郭人争江上望。来疑沧海尽成空。万面鼓声中。弄潮儿向涛头立。手把红旗旗不湿。别来几向梦中看。梦觉尚心寒。
写景,写山 长忆孤山，山在湖心如黛簇。僧房四面向湖开。轻棹去还来。芰荷香喷连云阁。阁上清声檐下铎。别来尘土污人衣。空役梦魂飞。
写雨 和雨还穿户，经风忽过墙。虽缘草成质，不借月为光。解识幽人意，请今聊处囊。君看落空阔，何异大星芒。
秋天,写景,抒情 小阁高栖老一枝，闲吟了不为秋悲。寒山常带斜阳色，新月偏明落叶时。烟水极天鸿有影，霜风卷地菊无姿。二更短烛三升酒，北斗低横未拟窥。
山水,写景,抒情 一夜满林星月白，且无云气亦无雷。平明忽见溪流急，知是他山落雨来。
月亮,爱情,思念 别梦依依到谢家，小廊回合曲阑斜。多情只有春庭月，犹为离人照落花。
婉约,抒情,爱情 蝴蝶儿，晚春时。阿娇初著淡黄衣，倚窗学画伊。还似花间见，双双对对飞。无端和泪拭胭脂，惹教双翅垂。
婉约 独立寒阶望月华，露浓香泛小庭花，绣屏愁背一灯斜。云雨自从分散后，人间无路到仙家，但凭魂梦访天涯。
婉约,春天,写景,抒情 柳色遮楼暗，桐花落砌香。画堂开处远风凉。高卷水晶帘额、衬斜阳。
爱情 浣花溪上见卿卿，脸波明，黛眉轻。绿云高绾，金簇小蜻蜒。好是问他来得么？和道：莫多情。
思念 露花烟草，寂寞五云三岛，正春深。貌减潜消玉，香残尚惹襟。竹疏虚槛静，松密醮坛阴。何事刘郎去？信沉沉。
写人 花正芳，楼似绮，寂寞上阳宫里。钿笼金锁睡鸳鸯，帘冷露华珠翠。娇艳轻盈香雪腻，细雨黄莺双起。东风惆怅欲清明，公子桥边沉醉。
柳树,抒情 岸柳拖烟绿，庭花照日红。数声蜀魄入帘栊。惊断碧窗残梦，画屏空。
写人 晚逐香车入凤城，东风斜揭绣帘轻，慢回娇眼笑盈盈。消息未通何计是？便须佯醉且随行，依稀闻道太狂生。
送别 钿毂香车过柳堤，桦烟分处马频嘶，为他沉醉不成泥。花满驿亭香露细，杜鹃声断玉蟾低，含情无语倚楼西。
婉约,思念 妾本钱塘江上住。花落花开，不管流年度。燕子衔将春色去，纱窗几阵黄梅雨。斜插犀梳云半吐，檀板轻敲，唱彻黄金缕。望断行云无觅处，梦回明月生南浦。
思乡 聊凭危堞望，暗起异乡情。霜落蒹葭白，山昏雾露生。河滩胡雁下，戎垒汉鼙惊。独树残秋色，狂歌泪满缨。
思念 遥夜人何在，澄潭月里行。悠悠天宇旷，切切故乡情。外物寂无扰，中流澹自清。念归林叶换，愁坐露华生。犹有汀洲鹤，宵分乍一鸣。
哲理 兰叶春葳蕤，桂华秋皎洁。欣欣此生意，自尔为佳节。谁知林栖者，闻风坐相悦。草木有本心，何求美人折！
田园 松叶堪为酒，春来酿几多。不辞山路远，踏雪也相过。
闺怨 自君之出矣，不复理残机。思君如满月，夜夜减清辉。
山水 万丈红泉落，迢迢半紫氛。奔流下杂树，洒落出重云。日照虹霓似，天清风雨闻。灵山多秀色，空水共氤氲。
写鸟,哲理 孤鸿海上来，池潢不敢顾。侧见双翠鸟，巢在三珠树。矫矫珍木巅，得无金丸惧？美服患人指，高明逼神恶。今我游冥冥，弋者何所慕！
写鸟,哲理 幽人归独卧，滞虑洗孤清。持此谢高鸟，因之传远情。日夕怀空意，人谁感至精？飞沈理自隔，何所慰吾诚?
写景 乘夕棹归舟，缘源路转幽。月明看岭树，风静听溪流。岚气船间入，霜华衣上浮。猿声虽此夜，不是别家愁。
写景,抒情 湘流绕南岳，绝目转青青。怀禄未能已，瞻途屡所经。烟屿宜春望，林猿莫夜听。永路日多绪，孤舟天复冥。浮没从此去，嗟嗟劳我形。
月亮,思乡,思念 海上生明月，天涯共此时。情人怨遥夜，竟夕起相思。灭烛怜光满，披衣觉露滋。不堪盈手赠，还寝梦佳期。
咏物 江南有丹橘，经冬犹绿林。岂伊地气暖？自有岁寒心。可以荐嘉客，奈何阻重深。运命惟所遇，循环不可寻。徒言树桃李，此木岂无阴？
写景,柳树 渠畔龙宫枕大堤，春风夹岸柳梢齐。羊肠白道穿云出，雁齿红桥亚水低。沽酒清阴时系马，招凉短槛几留题。更添蜡屐游山兴，为问平湖西复西。
婉约,闺怨 风住尘香花已尽，日晚倦梳头。物是人非事事休，欲语泪先流。闻说双溪春尚好，也拟泛轻舟。只恐双溪舴艋舟，载不动许多愁。
地名,咏史怀古,爱国,励志 生当作人杰，死亦为鬼雄。至今思项羽，不肯过江东。
婉约,菊花 薄雾浓云愁永昼，瑞脑消金兽。佳节又重阳，玉枕纱橱，半夜凉初透。东篱把酒黄昏后，有暗香盈袖。莫道不销魂，帘卷西风，人比黄花瘦。
豪放 天接云涛连晓雾，星河欲转千帆舞。仿佛梦魂归帝所。闻天语，殷勤问我归何处。我报路长嗟日暮，学诗谩有惊人句。九万里风鹏正举。风休住，蓬舟吹取三山去！
梅花 年年雪里，常插梅花醉。挼尽梅花无好意，赢得满衣清泪。今年海角天涯，萧萧两鬓生华。看取晚来风势，故应难看梅花。
婉约,离别 泪湿罗衣脂粉满，四叠阳关，唱到千千遍。人道山长水又断，萧萧微雨闻孤馆。惜别伤离方寸乱，忘了临行，酒盏深和浅。好把音书凭过雁，东莱不似蓬莱远。
爱情 绣面芙蓉一笑开，斜飞宝鸭衬香腮。眼波才动被人猜。一面风情深有韵，半笺娇恨寄幽怀。月移花影约重来。
闺怨 小院闲窗春已深，重帘未卷影沉沉。倚楼无语理瑶琴。远岫出云催薄暮，细风吹雨弄轻阴。梨花欲谢恐难禁。
春天,离别 暖雨晴风初破冻，柳眼梅腮，已觉春心动。酒意诗情谁与共？泪融残粉花钿重。乍试夹衫金缕缝，山枕斜欹，枕损钗头凤。独抱浓愁无好梦，夜阑犹剪灯花弄。
爱情,思念 夜来沉醉卸妆迟，梅萼插残枝。酒醒熏破春睡，梦远不成归。人悄悄，月依依，翠帘垂。更挼残蕊，更捻余香，更得些时。
婉约,写景 淡荡春光寒食天，玉炉沉水袅残烟。梦回山枕隐花钿。海燕未来人斗草，江梅已过柳生绵。黄昏疏雨湿秋千。
咏物,梅花 雪里已知春信至，寒梅点缀琼枝腻。香脸半开娇旖旎，当庭际，玉人浴出新妆洗。造化可能偏有意，故教明月玲珑地。共赏金尊沈绿蚁，莫辞醉，此花不与群花比。
抒情 天上星河转，人间帘幕垂。凉生枕簟泪痕滋。起解罗衣聊问、夜何其。翠贴莲蓬小，金销藕叶稀。旧时天气旧时衣。只有情怀不似、旧家时。
春天,写花 卖花担上。买得一枝春欲放。泪染轻匀。犹带彤霞晓露痕。怕郎猜道。奴面不如花面好。云鬓斜簪。徒要教郎比并看。
秋天,写景,思乡,抒情 寒日萧萧上琐窗，梧桐应恨夜来霜。酒阑更喜团茶苦，梦断偏宜瑞脑香。秋已尽，日犹长，仲宣怀远更凄凉。不如随分尊前醉，莫负东篱菊蕊黄。
咏物 临高阁，乱山平野烟光薄。烟光薄，栖鸦归后，暮天闻角。断香残酒情怀恶，西风催衬梧桐落。梧桐落，又还秋色，又还寂寞。
爱国 永夜恹恹欢意少。空梦长安，认取长安道。为报今年春色好，花光月影宜相照。随意杯盘虽草草。酒美梅酸，恰称人怀抱。醉里插花花莫笑，可怜春似人将老。
月亮 病起萧萧两鬓华，卧看残月上窗纱。豆蔻连梢煎熟水，莫分茶。枕上诗书闲处好，门前风景雨来佳。终日向人多酝藉，木犀花。
咏物,爱国,思乡 窗前谁种芭蕉树，阴满中庭。阴满中庭。叶叶心心，舒卷有馀清。清一作：情)伤心枕上三更雨，点滴霖霪。点滴霖霪。愁损北人，不惯起来听。
咏物,梅花,抒情 红酥肯放琼苞碎。探著南枝开遍未。不知酝藉几多香，但见包藏无限意。道人憔悴春窗底。闷损阑干愁不倚。要来小酌便来休，未必明朝风不起。
春天,思乡 归鸿声断残云碧。背窗雪落炉烟直。烛底凤钗明。钗头人胜轻。角声催晓漏。曙色回牛斗。春意看花难。西风留旧寒。
秋天,写景,思乡 寒日萧萧上锁窗，梧桐应恨夜来霜。酒阑更喜团茶苦，梦断偏宜瑞脑香。秋已尽，日犹长，仲宣怀远更凄凉。不如随分尊前醉，莫负东篱菊蕊黄。
抒情 帝里春晚，重门深院。草绿阶前，暮天雁断。楼上远信谁传，恨绵绵。多情自是多沾惹，难拚舍，又是寒食也。秋千巷陌，人静皎月初斜，浸梨花。
抒情,思念 十五年前花月底，相从曾赋赏花诗。今看花月浑相似，安得情怀似往时。
春天,写景,思念 暖雨晴风初破冻，柳眼梅腮，已觉春心动。酒意诗情谁与共？泪融残粉花钿重。乍试夹衫金缕缝，山枕斜欹，枕损钗头凤。独抱浓愁无好梦，夜阑犹剪灯花弄。
抒情,思乡 春残何事苦思乡，病里梳头恨最长。梁燕语多终日在，蔷薇风细一帘香。
写人 贵逼人来不自由，龙骧凤翥势难收。满堂花醉三千客，一剑霜寒十四州。鼓角揭天嘉气冷，风涛动地海山秋。东南永作金天柱，谁羡当时万户侯。
春天,送别,写景 蜀魄关关花雨深，送师冲雨到江浔。不能更折江头柳，自有青青松柏心。
爱情 离恨如旨酒，古今饮皆醉。只恐长江水，尽是儿女泪。伊余非此辈，送人空把臂。他日再相逢，清风动天地。
田园 柴门寂寂黍饭馨，山家烟火春雨晴。庭花蒙蒙水泠泠，小儿啼索树上莺。
送别,抒情 长门柳丝千万结，风起花如雪。离别复离别，攀折更攀折，苦无多旧时枝叶也。长门柳丝千万缕，总是伤心树。行人折嫩条，燕子衔轻絮，都不由凤城春做主。
爱国,忧国忧民 寸寸山河寸寸金，侉离分裂力谁任。杜鹃再拜忧天泪，精卫无穷填海心。
爱国,励志 寸寸山河寸寸金，侉离分裂力谁任，杜鹃再拜忧天泪，精卫无穷填海心。
咏物 避雀乔枝里，飞空华殿曲。天寒响屡嘶，日暮声愈促。繁吟如故尽，长韵还相续。饮露非表清，轻身易知足。
柳树,送别,友情 亭亭画舸系春潭，直到行人酒半酣。不管烟波与风雨，载将离恨过江南。
母亲 搴帷拜母河梁去，白发愁看泪眼枯。惨惨柴门风雪夜，此时有子不如无。
爱情 几回花下坐吹箫，银汉红墙入望遥。似此星辰非昨夜，为谁风露立中宵。缠绵思尽抽残茧，宛转心伤剥后蕉。三五年时三五月，可怜杯酒不曾消。
抒情 独饮对辛盘，愁上眉弯。楼窗今夜且休关。前度落红流到海，燕子衔还。书贴更簪欢，旧例都删。到时风雪满千山。年去年来常不老，春比人顽。
闺怨,思念 袅袅城边柳，青青陌上桑。提笼忘采叶，昨夜梦渔阳。
写雪 日夕北风紧，寒林噤暮鸦。是谁谈佛法，真个坠天花。呵笔难临帖，敲床且煮茶。禅关堪早闭，应少客停车。
离别 春风吹碧，春云映绿，晓梦入芳裀。软衬飞花，远连流水，一望隔香尘。萋萋多少江南恨，翻忆翠罗裙。冷落闲门，凄迷古道，烟雨正愁人。
婉约 屈指数春来，弹指惊春去。檐外蛛丝网落花，也要留春住。几日喜春晴，几夜愁春雨。十二雕窗六曲屏，题遍伤心句。
春天,写景,抒情 青山如黛远村东，嫩绿长溪柳絮风。鸟雀不知郊野好，穿花翻恋小庭中。
写景 春眠不觉晓，处处闻啼鸟。夜来风雨声，花落知多少。
写景 帝里重清明，人心自愁思。车声上路合，柳色东城翠。花落草齐生，莺飞蝶双戏。空堂坐相忆，酌茗聊代醉。
月亮 秋空明月悬，光彩露沾湿。惊鹊栖未定，飞萤卷帘入。庭槐寒影疏，邻杵夜声急。佳期旷何许，望望空伫立。
写水 山暝闻猿愁，沧江急夜流。风鸣两岸叶，月照一孤舟。建德非吾土，维扬忆旧游。还将两行泪，遥寄海西头。
抒情 遑遑三十载，书剑两无成。山水寻吴越，风尘厌洛京。扁舟泛湖海，长揖谢公卿。且乐杯中物，谁论世上名。
写人 阮籍推名饮，清风坐竹林。半酣下衫袖，拂拭龙唇琴。一杯弹一曲，不觉夕阳沉。余意在山水，闻之谐夙心。
山水 落景余清辉，轻桡弄溪渚。泓澄爱水物，临泛何容与。白首垂钓翁，新妆浣纱女。相看似相识，脉脉不得语。
山水 义公习禅寂，结宇依空林。户外一峰秀，阶前众壑深。夕阳连雨足，空翠落庭阴。看取莲花净，应知不染心。
写人 吾与二三子，平生结交深。俱怀鸿鹄志，昔有鶺鴒心。逸气假毫翰，清风在竹林。达是酒中趣，琴上偶然音。
送别,思乡 南国辛居士，言归旧竹林。未逢调鼎用，徒有济川心。予亦忘机者，田园在汉阴。因君故乡去，遥寄式微吟。
写景,田园,山水 弊庐在郭外，素产唯田园。左右林野旷，不闻朝市喧。钓竿垂北涧，樵唱入南轩。书取幽栖事，将寻静者论。
友情 洞庭去远近，枫叶早惊秋。岘首羊公爱，长沙贾谊愁。土毛无缟纻，乡味有槎头。已抱沈痼疾，更贻魑魅忧。数年同笔砚，兹夕间衾裯。意气今何在，相思望斗牛。
写景 挂席东南望，青山水国遥。舳舻争利涉，来往接风潮。问我今何适？天台访石桥。坐看霞色晓，疑是赤城标。
思乡 他乡逢七夕，旅馆益羁愁。不见穿针妇，空怀故国楼。绪风初减热，新月始临秋。谁忍窥河汉，迢迢问斗牛。
抒情 一丘常欲卧，三径苦无资。北土非吾愿，东林怀我师。黄金燃桂尽，壮志逐年衰。日夕凉风至，闻蝉但益悲。
写景 洛阳访才子，江岭作流人。闻说梅花早，何如北地春。
秋天 不觉初秋夜渐长，清风习习重凄凉。炎炎暑退茅斋静，阶下丛莎有露光。
思乡 木落雁南度，北风江上寒。我家襄水曲，遥隔楚云端。乡泪客中尽，孤帆天际看。迷津欲有问，平海夕漫漫。
抒情 昨夜斗回北，今朝岁起东。我年已强仕，无禄尚忧农。桑野就耕父，荷锄随牧童。田家占气候，共说此年丰。
离别,友情 寂寂竟何待，朝朝空自归。欲寻芳草去，惜与故人违。当路谁相假，知音世所稀。只应守寂寞，还掩故园扉。
春天 二月湖水清，家家春鸟鸣。林花扫更落，径草踏还生。酒伴来相命，开尊共解酲。当杯已入手，歌妓莫停声。
写山 山水观形胜，襄阳美会稽。最高唯望楚，曾未一攀跻。石壁疑削成，众山比全低。晴明试登陟，目极无端倪。云梦掌中小，武陵花处迷。暝还归骑下，萝月映深溪。
夏天,友情 山光忽西落，池月渐东上。散发乘夕凉，开轩卧闲敞。荷风送香气，竹露滴清响。欲取鸣琴弹，恨无知音赏。感此怀故人，中宵劳梦想。中宵一作：终)
抒情 北阙休上书，南山归敝庐。不才明主弃，多病故人疏。白发催年老，青阳逼岁除。永怀愁不寐，松月夜窗虚。
写景,月亮,写水,思乡 移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。
咏物,写水 百里闻雷震，鸣弦暂辍弹。府中连骑出，江上待潮观。照日秋云迥，浮天渤澥宽。惊涛来似雪，一座凛生寒。
春天,写景 带雪梅初暖，含烟柳尚青。来窥童子偈，得听法王经。会理知无我，观空厌有形。迷心应觉悟，客思未遑宁。
写人,送别 十五彩衣年，承欢慈母前。孝廉因岁贡，怀橘向秦川。四座推文举，中郎许仲宣。泛舟江上别，谁不仰神仙。
送别 送君不相见，日暮独愁绪。江上空裴回，天边迷处所。郡邑经樊邓，山河入嵩汝。蒲轮去渐遥，石径徒延伫。
送别,友情 水国无边际，舟行共使风。羡君从此去，朝夕见乡中。予亦离家久，南归恨不同。音书若有问，江上会相逢。
写人,写景 采樵入深山，山深树重叠。桥崩卧槎拥，路险垂藤接。日落伴将稀，山风拂萝衣。长歌负轻策，平野望烟归。
离别 荆吴相接水为乡，君去春江正淼茫。淼茫同：渺)日暮征帆何处泊，天涯一望断人肠。
边塞,战争 浑成紫檀金屑文，作得琵琶声入云。胡地迢迢三万里，那堪马上送明君。异方之乐令人悲，羌笛胡笳不用吹。坐看今夜关山月，思杀边城游侠儿。
抒情 遑遑三十载，书剑两无成。山水寻吴越，风尘厌洛京。扁舟泛湖海，长揖谢公卿。且乐杯中物，谁论世上名。
离别 吾观非常者，碌碌在目前。君负鸿鹄志，蹉跎书剑年。一闻边烽动，万里忽争先。余亦赴京国，何当献凯还。
山水,写水,地名 八月湖水平，涵虚混太清。气蒸云梦泽，波撼岳阳城。欲济无舟楫，端居耻圣明。坐观垂钓者，徒有羡鱼情。
写景,抒情 潮落江平未有风，扁舟共济与君同。时时引领望天末，何处青山是越中。
梅花 皓态孤芳压俗姿，不堪复写拂云枝。从来万事嫌高格，莫怪梅花着地垂。
咏物,柳树 千丝风雨万丝晴。年年长短亭。暗黄看到绿成阴。春由他送迎。莺思重，燕愁轻。如人离别情。绕湖烟冷罩波明。画船移玉笙。
春天,写风 春风如贵客，一到便繁华。来扫千山雪，归留万国花。
咏史怀古,抒情 莫唱当年长恨歌，人间亦自有银河。石壕村里夫妻别，泪比长生殿上多。
冬天,写雪 沉沉更鼓急，渐渐人声绝。吹灯窗更明，月照一天雪。
写山 来龙去脉绝无有，突然一峰插南斗。桂林山水奇八九，独秀峰尤冠其首。三百六级登其巅，一城烟水来眼前。青山尚且直如弦，人生孤立何伤焉？
写景 秋夜访秋士，先闻水上音。半天凉月色，一笛酒人心。响遏碧云近，香传红藕深。相逢清露下，流影湿衣襟。
